scheme,model,n,MAE,RMSE,R2
Temporal 2022,Global median,346,131.31005769616203,249.12094135605014,-0.06848440974860326
Temporal 2022,Random forest,346,100.97817631498475,150.3622429254937,0.6107529696590291
Temporal 2022,Ridge,346,100.5462820677591,161.37224183943823,0.5516621735859545
Temporal 2022,Type median,346,87.70460598138632,148.2833964904049,0.6214417045153552
Temporal 2023,Global median,580,123.83604466280106,241.83076574770104,-0.011025631253754664
Temporal 2023,Random forest,580,97.724702871712,172.47154247875338,0.48575040464603825
Temporal 2023,Ridge,580,93.33737747286763,179.27225917161456,0.4443961497701202
Temporal 2023,Type median,580,87.85433165187374,174.98151461829082,0.4706737807204384
Temporal 2024,Global median,559,115.79699218465774,244.36684260280535,-0.050627020817421986
Temporal 2024,Random forest,559,89.71180768597233,182.25086569902996,0.415609414286109
Temporal 2024,Ridge,559,87.12971846855537,186.71460462550465,0.38663274116966806
Temporal 2024,Type median,559,85.76822167582137,187.77556272225016,0.3796423309548067
Temporal 2025 (provisional),Global median,467,114.02563304262277,254.85044491575954,-0.03427870235287811
Temporal 2025 (provisional),Random forest,467,84.60394321387548,171.66411855548495,0.5307266996470241
Temporal 2025 (provisional),Ridge,467,87.74754552055832,188.60173273515574,0.43355447983428275
Temporal 2025 (provisional),Type median,467,82.8247613844658,185.91042163846242,0.44960527707131825
