year,seen_property,model,n,MAE,RMSE,R2
2022,False,Global median,73,92.96032875771277,129.25353359941002,-0.010423202830405875
2022,False,Random forest,73,123.653246271294,146.1609609747593,-0.2920557117344518
2022,False,Ridge,73,113.32159939005835,141.12228577768352,-0.20450793435067216
2022,False,Type median,73,104.94659966149665,154.83633921667777,-0.44998747342913514
2022,True,Global median,273,141.56474711926387,272.3767152635983,-0.08545457362988951
2022,True,Random forest,273,94.91487922044051,151.4659173247509,0.6643384966288505
2022,True,Ridge,273,97.13017157498312,166.36993384494932,0.5950313685834743
2022,True,Type median,273,83.09410950282202,146.4814783037124,0.6860668881111084
2023,False,Global median,234,104.23765903304769,208.91038769755136,-0.003717141615079189
2023,False,Random forest,234,89.77627509640357,197.6938230679935,0.10117018254153876
2023,False,Ridge,234,79.81387965291192,195.54571586560655,0.12059712261750954
2023,False,Type median,234,86.30100686694149,202.79039072444954,0.054228952381133566
2023,True,Global median,346,137.09044419274989,261.75838510317834,-0.039348972997024445
2023,True,Random forest,346,103.10022917062001,153.07583185137125,0.6445541546677471
2023,True,Ridge,346,102.48332686555443,167.37201279218365,0.5750617120734713
2023,True,Type median,346,88.90484610179901,153.34182134769964,0.6433178131456951
2024,False,Global median,11,107.07058548628433,125.42843125730269,-0.2385929483598097
2024,False,Random forest,11,131.94879305262134,149.573405890235,-0.7613488814781117
2024,False,Ridge,11,153.573679294322,183.20152511993828,-1.6423770674690368
2024,False,Type median,11,167.6765743520015,192.6074524119812,-1.9206720586690142
2024,True,Global median,548,115.97215728261779,246.16665379270256,-0.04979752318682107
2024,True,Random forest,548,88.86398498700675,182.84702077581466,0.4208075707886606
2024,True,Ridge,548,85.79598932789216,186.78444617586618,0.39559434727638954
2024,True,Type median,548,84.1240759104236,187.67729863245017,0.38980227124922895
2025,False,Global median,12,98.37931178227943,116.62514242848049,-0.2903703957107382
2025,False,Random forest,12,171.903680553165,207.90549779904973,-3.100737447127341
2025,False,Ridge,12,197.422058004468,239.24967094917744,-4.430411179583987
2025,False,Type median,12,116.31911041650551,152.40723898411764,-1.2036428432597686
2025,True,Global median,455,114.43828327366481,257.4936202119678,-0.03769824644289299
2025,True,Random forest,455,82.30153255877335,170.60413436079784,0.5444697318304115
2025,True,Ridge,455,84.85503090559806,187.08047094012767,0.4522340335173446
2025,True,Type median,455,81.94139393746696,186.71267364956685,0.454385715058341
